platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Databases,https://alison.com/course/exploring-sql-server-2016-intermediate#outcomes,Exploring SQL Server 2016: Intermediate,"SQL Server 2016 is different from working with the initial versions of SQL Server. The 2016 version has improved features such as data masking, always encrypted data, row-level security and other functions created to enhance the quality of your work. This course provides knowledge for working with the SSAS SSISDB catalogue, SSRS and other features. If you are a DBA or a generalist interested in SQL, you will benefit by completing this course.",en,Intermediate Level,2692,0,Certificate,Workforce Academy Partnership,9,5
Alison,Databases,https://alison.com/course/microsoft-access-2013-basic-online-training#outcomes,Diploma in Microsoft Access 2013 Basic Online Training,"This free online course, Microsoft Access 2013 Basic Online Training. Students will learn about working with table data. The course will also cover querying a database. It then shows how to create an advanced queries. Students will then learn about generating reports. The course wraps up with customizing the access environment. So, why wait? Start this course today and learn about Microsoft Access 2013.",en,Intermediate Level,10409,0,Diploma,Workforce Academy Partnership,70,28
Alison,Databases,https://alison.com/course/introduction-to-information-technology-for-managers-revised#outcomes,Introduction To Information Technology For Managers,This free online information technology course for managers will introduce you to the characteristics and uses of IT systems. Effective management and implementation of IT resources have now become routine tasks for many middle and senior managers. This means that a solid understanding of Information Technology is of vital importance for any manager in the modern workplace. Start this free online course today to grow your management skills today.,en,Beginner Level,18023,0,Certificate,Global Text Project,154,39
Alison,Databases,https://alison.com/course/diploma-in-databases-and-t-sql-revised#outcomes,Diploma in Databases and T-SQL,This free online Databases and T-SQL course will teach you the core concepts of databases and their structure. It will teach you how to retrieve data from a database using Structured Query Language (SQL) and Microsoft's variant Transact-SQL (T-SQL). You will learn about queries and the different constraints and clauses you can include in them. You will also study administrative tasks you can perform on a database.,en,Beginner Level,42424,0,Diploma,Channel 9,129,61
Alison,Databases,https://alison.com/course/sql-for-beginners#outcomes,SQL for Beginners,"SQL is a user-friendly language used to create, implement, modify, and structure a database. Its features include large data retrieval, faster query processing, and multiple data views. This online course will introduce you to basic database design and architecture. You will learn to use primary, intermediate, and advanced SQL operators for backend data manipulation in your applications. Take this course to sharpen your SQL skills. Enroll now!",en,Beginner Level,39549,0,Certificate,Training Facility UK,317,231
Alison,Databases,https://alison.com/course/google-cloud-computing-foundation#outcomes,Google Cloud Computing Foundation,"This free online course introduces Google Cloud Platform (GCP) to business professionals and aspiring IT specialists. Learn how GCP transforms technology and business, enabling app building, machine learning, networking, security and storage solutions. Explore cloud fundamentals, master GCP, build applications, and leverage key services. No IT experience needed. Start today to gain in-demand cloud skills and boost your career.",en,Beginner Level,24809,0,Certificate,NPTEL,108,59
Alison,Databases,https://alison.com/course/database-security-for-cyber-professionals#outcomes,Database Security for Cyber Professionals,Database hacks and data breaches have become more common in today’s digital world. Have you ever wondered how these hackers gain access to the database and what they do with the compromised data? This free online course aims at illustrating the process of securing the databases from these kinds of attacks and you will learn by assuming the role of a hacker and evaluating various types of threats that are frequently prevalent in the modern world.,en,Advanced Level,15473,0,Certificate,Stone River eLearning,69,37
Alison,Databases,https://alison.com/course/cloud-computing-database-technologies-and-services#outcomes,Cloud Computing - Database Technologies and Services,"This free online training course introduces you to the concept of database technologies and the evolving market trend of using cloud-based database services. Over the last couple of years, the application requirements to store and handle data have changed substantially. There are more data types to manage, much higher data volumes to operate and a need to keep the data longer. This need has led to the rise of cloud-based database services.",en,Beginner Level,7760,0,Certificate,Idan Gabrieli,56,31
Alison,Databases,https://alison.com/course/sql-server-for-data-analysis#outcomes,SQL Server for Data Analysis,"Are you looking to boost your data analysis skills and extract more valuable insights from your data? This course is just what you need! We provide the essential skills to work with SQL Server and perform practical data analysis. We will introduce you to the fundamentals of SQL Server, including how to create and manage databases. You’ll learn to write complex SQL queries to filter, sort, aggregate data, and more.",en,Intermediate Level,24944,0,Certificate,CodeBudo,245,120
Alison,Databases,https://alison.com/course/laravel-framework-for-beginners#outcomes,Laravel Framework for Beginners,"In this free online Laravel framework introductory course, you will be taught the basics, features and applications of the Laravel Framework. Explore creating controllers, actions, validations, routes, entities, and services, and overview the common mistakes developers make when using the Laravel framework for development. The main advantage of this course is that you will learn how to create your web application using the Laravel framework.",en,Beginner Level,4771,0,Certificate,Career Guides Experts,74,49
Alison,Databases,https://alison.com/course/microsoft-office-access-2013-intermediate#outcomes,Diploma in Microsoft Office Access 2013 Intermediate,"This free online course Microsoft Office Access 2013 Intermediate, teaches students about designing a relational database. The course then teaches students about joining tables and organizing a database for efficiency, Students will learn about sharing data across applications. The course wraps up with advanced reporting. ""So, why wait? Start this course today and learn about Microsoft Office Access 2013.",en,Beginner Level,9998,0,Diploma,Workforce Academy Partnership,42,30
Alison,Databases,https://alison.com/course/content-management-strategies#outcomes,Content Management Strategies,"What is content management and why is it so important for organizations? With the overwhelming amount of data that is created every day, it is imperative for every organization to not only manage their data effectively but also consider how they can use their data for intelligent decision making. This content management course is a perfect starting point for understanding the critical content management concepts.",en,Beginner Level,11600,0,Certificate,One Education,34,21
Alison,Databases,https://alison.com/course/master-the-fundamentals-for-google-ads#outcomes,Master the Fundamentals for Google Ads,"This free online course will help you to quickly and correctly set up a Google Ads account with the least cost in maintenance fees. The method achieves this by going over each critical element in a step by step procedure and highlights which configuration settings are irrelevant or may cost you more than its financial return. You will also learn to identify, sort and rephrase keywords that will attract the most clients to your business.",en,Intermediate Level,14761,0,Certificate,Oliver Olsen,18,7
Alison,Databases,https://alison.com/course/microsoft-office-access-2013-advanced#outcomes,Microsoft Office Access 2013 Advanced,"This free online course, Microsoft Office Access 2013 Advanced, teaches students the advanced skills and tools used in Microsoft Access. Students will learn about Implementing advanced form design and using data validation. You will also learn about distributing and securing a database. You will also learn about managing switchboards. ""So, why wait? Start this course today and learn about Microsoft Office Access 2013 advanced skills.",en,Beginner Level,8736,0,Certificate,Workforce Academy Partnership,54,29
Alison,Databases,https://alison.com/course/amazon-web-services-intermediate#outcomes,Amazon Web Services: Intermediate,"This intermediate-level course on Amazon Web Services (AWS) teaches you about the features of auto-scaling as well as elastic, classic, and application load balancers. AWS Lambda is a way to perform server-less operations and this course will teach you about its importance. You will also learn about cloud formation in AWS. Start this course today to master the Amazon Relational Database Services (Amazon RDS).",en,Beginner Level,8549,0,Certificate,Workforce Academy Partnership,20,9
Alison,Databases,https://alison.com/course/advanced-diploma-in-database-systems#outcomes,Advanced Diploma in Database Systems,"In this free online course you'll learn that database systems are becoming an essential contributor to the success of most businesses and organisations and it pays to manage your data securely and effectively. This course introduces you to the main features, structures and operations of some of the most important and popular database systems. Start this course now and improve your knowledge and expertise in database management.",en,Beginner Level,16650,0,Diploma,NPTEL,71,29
Alison,Databases,https://alison.com/course/fundamentals-of-hadoop#outcomes,Basics of Hadoop,"In this short course, you will be introduced to the components and tools of Apache Hadoop. Learn how to store and process large datasets ranging in size from gigabytes to petabytes with big data. The HDFS (Hadoop distributed file system) architecture, data processing using MapReduce, and importing and exporting data using SQOOP will be covered. The course also has a section that provides you with practical knowledge and hands-on activities.",en,Advanced Level,1205,0,Certificate,Proton Expert Systems and Solutions,7,9
Alison,Databases,https://alison.com/course/aws-devops-continuous-integration-delivery-and-deployment#outcomes,"AWS DevOps Continuous; Integration, Delivery and Deployment","AWS is a real-time cloud platform to help you fully manage a continuous delivery service for application and infrastructure updates. We provide you with an understanding of AWS CodePipeline, and what it can do for you and examine all the components and benefits of the platform. We will provide information to assist you in applying an application's integration, delivery and deployment. So, why wait? Enroll today!",en,Beginner Level,6115,0,Certificate,Stone River eLearning,30,17
Alison,Databases,https://alison.com/course/diploma-in-e-commerce-web-development#outcomes,Diploma in E-Commerce Web Development,"This diploma course teaches you how to develop a website to successfully drive e-commerce. We explain how to build an e-commerce website from scratch using HTML, CSS, Javascript, PHP and SQL. We then show you how to develop advanced e-commerce functionalities to display products online, using simple and effective CSS, PHP and SQL code in any development environment. This course can also help small businesses widen their customer base and grow.",en,Beginner Level,117424,0,Diploma,ClayDesk E-Learning,101,43
Alison,Databases,https://alison.com/course/diploma-in-application-development-using-php-and-mysql#outcomes,Diploma in Application Development Using PHP and MySQL,"Application development entails a series of coding steps, all of which must be error-free in order for the app to be well-developed and run at peak performance. This course teaches you how to set up a coding environment for developing applications with MySQL and PHP. Using this course you should be able to create great apps that function well and are easy to develop, maintain and upgrade whenever needed. You'll learn how to code the right way!",en,Beginner Level,15698,0,Diploma,Sonar Systems,68,19
Alison,Databases,https://alison.com/course/microsoft-access-2010-revised-2017#outcomes,Microsoft Access 2010,This training course teaches you how to use Microsoft Access to create and run your own basic database system and develop user-friendly applications. Microsoft Access is a popular software program used across the world to keep track of information. This course explains how to make the most of this flexible and useful program so sign up to quickly gain a valuable new skill that can beef up your professional portfolio and boost your career.,en,Beginner Level,22352,0,Certificate,Microsoft,216,57
Alison,Databases,https://alison.com/course/sql-server-2014-security-fundamentals#outcomes,SQL Server 2014: Security Fundamentals,"This software engineering course takes you through the security fundamentals of SQL Server 2014, as well as teaching you about authentication and contained databases. It explains how to design secure databases using the full range of security options. By the end of the course, you will be more acquainted with the theory and implementation of secure server management, authorization and authentication. Optional SQL certification available.",en,Beginner Level,3205,0,Certificate,Workforce Academy Partnership,6,9
Alison,Databases,https://alison.com/course/the-complete-guide-to-microsoft-access-2021#outcomes,The Complete Guide to Microsoft Access 2021,"Microsoft Access 2021 is a relational database management system. This course examines its features and explains how to build tables, queries and reports that enable us to browse the data, interact with it and generate summaries of collated information. We show you how to connect tables to let you integrate data across them for deeper analysis. Sign up for this MS Access 2021 tutorial to take your data management skills to the next level.",en,Advanced Level,3804,0,Certificate,SimonSezIT,34,17
