platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/fully-dynamic-pacman-game-using-javascript#outcomes,Fully Dynamic Pacman Game using JavaScript,"Explore the diverse world of JavaScript and learn how to create a fully dynamic Pacman game from scratch using JavaScript. This free online JavaScript course will teach you the methods required to dynamically generate the Pacman game boards, dynamically adjust screen sizes to automatically fit the client-screen, along with step-by-step demonstrations on how to apply the various JavaScript Functions, HTML Classes, and CSS Styling Properties.",en,Intermediate Level,1828,0,Certificate,Laurence Svekis ✔,5,5
Alison,Web Development,https://alison.com/course/diploma-in-programming-using-c-sharp#outcomes,Diploma in Programming Using C#,"The demand for mobile and web applications is significantly more than its supply. Mobile and web apps are expected to generate over $613 billion in revenue by 2025. Programming is at the heart of all online and offline and web applications. With this step-by-step comprehensive diploma course, you can join this thriving sector by learning to code and program in C#, the all-powerful language used to develop mobile, web and desktop apps.",en,Advanced Level,4696,0,Diploma,Stone River eLearning,13,10
Alison,Web Development,https://alison.com/course/css-layout-creating-a-float-based-responsive-website#outcomes,CSS Layout - Creating a Float Based Responsive Website,"Have you always wanted to try your hand at creating functional websites? In this digital age, the opportunities for people with web development skills are truly endless. This free online web development training is a great place to start your journey and it will teach you all the skills and techniques needed to create a dynamic, responsive website including wireframes and content, using Cascading Style Sheets (CSS) coding.",en,Beginner Level,2848,0,Certificate,Laurence Svekis ✔,15,3
Alison,Web Development,https://alison.com/course/jquery-web-development-and-programming#outcomes,jQuery Web Development and Programming,"This course will teach you all you need to create dynamic and functional websites using jQuery, the light, fast and feature-rich JavaScript library. This course will cover the basics of jQuery web design, such as selecting elements and recording events, as well as the more advanced features like proxy functions and extending functions using jQuery. In addition, discover how to create elements, effects and animations and use utility functions.",en,Intermediate Level,1873,0,Certificate,Sonar Systems,7,3
Alison,Web Development,https://alison.com/course/wordpress-plugin-development-from-idea-to-implementation#outcomes,WordPress Plugin Development: From Idea to Implementation,"The WordPress programmer should be able to build a great WordPress plugin. Have you been wondering how to hire the right WordPress developer? This course teaches you how to hire the best programmer to execute specific tasks at an affordable price. We describe the skills and personality type required and explain how to use the freelancer sites, write excellent job posts, conduct research and set the search parameters to find the right person.",en,Advanced Level,1092,0,Certificate,eTrain London,7,4
Alison,Web Development,https://alison.com/course/maths-games-project-from-scratch-using-javascript#outcomes,Maths Games Project from Scratch Using Javascript,"Learn JavaScript and how to create a Maths Game using JavaScript, Visual Studio Code, Chrome DevTools, and resources from the Mozilla Developer Network. You will also learn how to create a second more advanced version of the Game and a downloadable CSV File of the player’s score. The game creation process includes a host of code examples and employs a large number of Functions such as Math Random, querySelector, and CreateElement.",en,Intermediate Level,1854,0,Certificate,Laurence Svekis ✔,4,0
Alison,Web Development,https://alison.com/course/development-using-hapijs#outcomes,Web Application Development using hapiJS,"The open-source hapijs Javascript framework is used by developers to create dependable and scalable web applications. Application programming interface servers, HTTP-proxy programs and webpages are frequently created using hapi. hapiJS has many special capabilities that let programmers create strong, effective and scalable apps. This course shows you step by step how to use hapiJS to create safe online applications and interactive webpages.",en,Beginner Level,920,0,Certificate,Stone River eLearning,3,0
Alison,Web Development,https://alison.com/course/building-a-responsive-user-interface-using-bootstrap#outcomes,Building a Responsive User Interface using Bootstrap,"These days, with nearly every company and individual having their own website, you need one that stands out from the rest. Developed with CSS, JavaScript, and HTML, Bootstrap is an easy-to-use and responsive front-end web design framework that features a huge number of accessible resources to help any web development project really shine. With this free online course, you learn all about Bootstrap's most important components in no time at all.",en,Intermediate Level,10306,0,Certificate,Microsoft,4,1
Alison,Web Development,https://alison.com/course/building-a-responsive-website-with-bootstrap#outcomes,Building a Responsive Website with Bootstrap,Websites provide organisations and businesses with an opportunity to establish a positive first impression and reassure visitors that they are legitimate. This web development course explains how to build a website with Bootstrap. We establish the importance of using CSS and HTML to build websites and then show you how to set up projects and add Bootstrap components. Sign up to take your web development and design skills to the next level.,en,Beginner Level,2503,0,Certificate,Zenva,12,1
Alison,Web Development,https://alison.com/course/diploma-in-cascading-style-sheets-using-html#outcomes,Diploma in Cascading Style Sheets using HTML,"To be a successful web developer, you must have a quality understanding of HTML and CSS in web design. This course demonstrates the techniques of using HTML, CSS and media queries to build a responsive and distinctive website. You will discover the best practices to create an eye-catching website for personal or business use. You will also learn ways of optimising your website to improve its performance.",en,Advanced Level,2375,0,Diploma,Juan Galvan,8,0
