platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/java-logging-frameworks-the-complete-guide#outcomes,Java Logging Frameworks: The Complete Guide,"All software applications require consistency in their runtime behaviour for debugging issues, analysis and audit. How do we achieve this without writing extra code? This course will teach you the standard method and procedure used to log anything without writing additional code using Java logging frameworks. We'll show you various open-source logging frameworks for Java such as JUL, Log4j, Logback and SLF4J and how to use them.",en,Intermediate Level,1165,0,Certificate,Quaatso,2,2
Alison,Web Development,https://alison.com/course/creating-a-shooting-game-using-html-5-canvas-and-javascript#outcomes,Creating a Shooting Game using HTML5 Canvas and JavaScript,"In this short course, you will learn to create a shooting game from scratch, using elements drawn with Canvas, and gameplay created using JavaScript. You will learn everything from setting up the project and drawing shapes using Canvas, to creating the logic for the opponent, and even completely automating the game to have the players play against themselves, responding to the movements and actions of each other.",en,Advanced Level,1605,0,Certificate,Laurence Svekis ✔,3,4
Alison,Web Development,https://alison.com/course/app-development-using-pascal#outcomes,App Development Using Pascal,"The continued use of the Pascal programming language is attributed to its support for structured programming, data structures and its consistent use of loops and conditional structures. As a result, Pascal is considered by some to be a preferred language for programming instructions. We have designed this foundational course to teach you how to develop applications using Pascal with first-hand programming practices.",en,Intermediate Level,841,0,Certificate,Stone River eLearning,2,0
Alison,Web Development,https://alison.com/course/introduction-to-backbonejs#outcomes,Introduction to BackboneJS,"One of the various libraries and frameworks you can use to create JavaScript code is Backbone.js. From beginner to expert, we will guide you step-by-step through the Backbone.js learning process. You will understand the basics and core concepts of Backbone.js and all you need to build well-structured, fully functional and styled web applications that employ the Backbone.js components and connect them to create a seamless web app.",en,Beginner Level,465,0,Certificate,Stone River eLearning,1,0
