platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/introduction-to-javascript-dom-page-elements#outcomes,Introduction to JavaScript DOM Page Elements,"This course on JavaScript DOM Page Elements will equip you with the basic knowledge needed to modify elements on webpages with DOM using JavaScript. It teaches you how the DOM relates to JavaScript code, methods of selecting elements and how to add and remove objects using append and prepend. In addition, this course will teach you about event listeners and their types and how to add animation frames to the page.",en,Beginner Level,1228,0,Certificate,Laurence Svekis ✔,5,2
Alison,Web Development,https://alison.com/course/introduction-to-web-development-processes-and-server-setup#outcomes,Beginner Web Development Processes and Server Setup,"The internet is a global tool used to share and gain information. If you are already familiar with using the internet, this course will take you from beginner to expert in using scripting languages to build web applications. Discover how to integrate and administer MySQL databases in a web project and learn the benefits of scaling server configurations. This course will also teach you about WAMP servers. Register now to improve your skills!",en,Advanced Level,8226,0,Certificate,YouAccel Training,27,8
Alison,Web Development,https://alison.com/course/dom-interactive-website-game-using-javascript#outcomes,DOM – Interactive Website Game using JavaScript,"The Document Object Model (DOM) allows you to manipulate website elements, and create new ones without changing its HTML code. In this free online JavaScript game development course, you will be introduced to DOM and learn how to use JavaScript to create webpage elements, move elements and create animations that make websites engaging and responsive along with the process involved in developing an interactive website game using JavaScript.",en,Intermediate Level,891,0,Certificate,Laurence Svekis ✔,4,3
Alison,Web Development,https://alison.com/course/diploma-in-website-development-using-python-flask#outcomes,Diploma in Website Development using Python-Flask,"Flask-Python is a handy and flexible framework that can help with simple and complicated web developments. If your goal is to become a professional back-end developer, this free course is an excellent and easy-to-learn way to get started. This diploma will teach you how to use Python, Flask and Cloud9 IDE to initiate the career path toward becoming a professional. After this training, you'll know how to build and publish a Flask-Python web blog.",en,Advanced Level,10211,0,Diploma,Stone River eLearning,29,8
Alison,Web Development,https://alison.com/course/exploring-asp-net-core-fundamentals#outcomes,Exploring ASP.NET Core Fundamentals,"ASP.NET Core is a general-purpose development platform maintained by Microsoft and the .NET community. This free online course will teach you how it can be used to provide flexible deployment and how it can be ported to other operating systems. You will also learn how the command-line interface can be used to create and run .NET applications. If you want to develop your skills in ASP.NET Core’s enticing features, then be sure to enrol today.",en,Intermediate Level,5798,0,Certificate,Workforce Academy Partnership,15,16
Alison,Web Development,https://alison.com/course/a-beginner-s-guide-to-mongodb#outcomes,A Beginner's Guide to MongoDB,"If you want to become a highly skilled developer or a DBA, MongoDB is an excellent place to start since it's user-friendly, adaptable and efficient. In this course, you will discover how to launch a fully-functional web app in no time. The objective is to build a trustworthy foundation that will prepare you for database administration. After acquiring this knowledge, you will immediately be more marketable to potential employers.",en,Advanced Level,2382,0,Certificate,Stone River eLearning,10,7
Alison,Web Development,https://alison.com/course/an-introduction-to-the-esp32-web-server#outcomes,An Introduction to the ESP32 Web Server,"The ESP32 board has a Wi-Fi feature that allows it to create its own access point for other devices to join or connect to other Wi-Fi routers. With the utilization of the Wi-Fi feature, you can programme the ESP32 to serve web pages to web clients. This course will show you how to use the Arduino Integrated Development Environment to programme the ESP32 and turn it into a web server that controls outputs such as LEDs.",en,Beginner Level,3274,0,Certificate,Ashraf Said AlMadhoun,10,7
Alison,Web Development,https://alison.com/course/using-css-to-create-responsive-grid-and-flexbox-websites#outcomes,Using CSS to Create Responsive Grid and Flexbox Websites,"This free online course will teach you the difference between CSS grid and CSS flexbox websites. We’ll show you how to incorporate the two for a successful web design journey and experience. In doing so, you’ll overcome the challenges and flaws that characterized building with CSS before the advent of CSS flexbox and CSS grid. You'll learn the easiest way to design your website without relying heavily on floats and their rigorous process.",en,Intermediate Level,2284,0,Certificate,Laurence Svekis ✔,8,7
Alison,Web Development,https://alison.com/course/mobile-and-web-development-using-ionic#outcomes,Mobile and Web Development using Ionic,"This development course teaches you how to build websites, and mobile applications, using the cross-platform development framework called Ionic. You will learn the process of setting it up, as well as testing and debugging applications across platforms. You will also learn about various styling elements like lists, toggles, and sliders, that can be added to your application or webpage, and how the Ionic framework is used to add them.",en,Advanced Level,3412,0,Certificate,Sonar Systems,5,0
Alison,Web Development,https://alison.com/course/authentication-and-implementation-techniques-in-rails-development#outcomes,Authentication and Implementation Techniques in Rails Development,"This course discusses the processes used in distributing Rails codes to developers. It also explains the best practices associated with using RubyGems, as well as the implementation of access levels in Rails. You will learn how to integrate images and videos in a Rails application and the important components such as security when developing with Rails. Register for this course now and learn how to use the advanced features in Ruby on Rails.",en,Advanced Level,437,0,Certificate,YouAccel Training,3,0
