platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/fundamentals-of-human-computer-information-retrieval-revised#outcomes,Fundamentals of Human-Computer Information Retrieval,"In this free online course in Human-Computer Information Retrieval you can learn the fundamental characteristics of the vast quantities of data and information which appear on the web every day. This course will help you understand the different forms of data, and how modern search engines combine human computer interaction (HCI) studies with complex information retrieval methods to facilitate the convenient navigation of online spaces.",en,Beginner Level,12540,0,Certificate,University of North Carolina,68,23
Alison,Web Development,https://alison.com/course/intro-to-web-accessibility#outcomes,Intro to Web Accessibility,"Modern-day web design and development is fundamental to how we experience the online world and web accessibility is the cornerstone of these disciplines. In this free online web accessibility course, you will get a detailed overview of why web accessibility is important, who it helps, the kind of technologies involved in creating accessible interfaces and how to apply the Web Content Accessibility Guidelines (WCAG).",en,Advanced Level,3661,0,Certificate,BCcampus OpenEd,14,10
Alison,Web Development,https://alison.com/course/a-guide-to-web3#outcomes,A Guide to Web3,"A Guide to Web3 is an introductory online course that covers the fundamentals of Web3, including blockchain, decentralised apps (dApps), smart contracts, NFTs, and decentralised finance. As for beginners, this course will teach you how Web3 technologies are transforming the internet, empowering users with greater control over data and digital assets. Get the knowledge to navigate and thrive in the future of a decentralised digital ecosystem.",en,Beginner Level,1043,0,Certificate,Amzi Chidozie,5,10
Alison,Web Development,https://alison.com/course/exploring-and-installing-let-s-encrypt-using-ssl-certificate#outcomes,Exploring and Installing Let's Encrypt Using SSL Certificate,"In the age of digital, it is important to always make sure that data and online content is secure. This free online cyber security course on Exploring and Installing Let's Encrypt Using SSL Certificate teaches you about the importance of securing web content and how to do it as well. You will explore the differences between traditional and SSL certificates, SSL verification, and the installation process for cron job (command line utility).",en,Advanced Level,2361,0,Certificate,YouAccel Training,7,8
Alison,Web Development,https://alison.com/course/starting-javascript-programming#outcomes,Starting JavaScript Programming,"This practical web development course introduces you to JavaScript (JS), a powerful programming language used by professionals. We begin with the basics of JS code and explain how to use mathematical operators and work with conditional statements in JS. We show you how to write codes and commands step by step to help you acquire a valuable skill as you learn the fundamentals of JavaScript and prepare to move on to higher-level programming.",en,Beginner Level,17056,0,Certificate,Zenva,114,68
Alison,Web Development,https://alison.com/course/fundamentals-of-html#outcomes,Fundamentals of HTML,"This free online course on the fundamentals of HTML will give you a comprehensive guide on the major updates available in HTML version 5 (HTML5). You will learn how to download, install, and customize ComodoreEdit, which is the free editing software in HTML5. Other key themes in this HTML course are learning about the new semantic elements along with differences between the placeholder attribute and the value attribute in HTML.",en,Intermediate Level,15442,0,Certificate,Stone River eLearning,48,39
Alison,Web Development,https://alison.com/course/react-javascript-fundamentals-to-coding-and-new-beginnings#outcomes,React JavaScript - Fundamentals to Coding & New Beginnings,"React is an open-source JavaScript library that you can use to build user interfaces and web applications. React is much simpler to use than JavaScript and requires significantly less coding. This web development course lays out the core principles of React. We explain how to set up your first React environment, components, keys and props. We also go through folder structure, CSS styling and React operators. Sign up to learn a valuable new skill.",en,Intermediate Level,19529,0,Certificate,Digital Partner,77,58
Alison,Web Development,https://alison.com/course/web-design-with-html#outcomes,Web Design with HTML,"Websites play an important role in helping us access information on the internet. This short, free online course covers the basic principles and elements of HTML, the most widely used programming language for designing websites. You will learn about using tags and adding elements like tables and media. We’ll also cover using CSS and JavaScript to make a website responsive, so you can be on the way to building your first functional website.",en,Beginner Level,20504,0,Certificate,Sonar Systems,90,43
Alison,Web Development,https://alison.com/course/styling-websites-with-css#outcomes,Styling Websites with CSS,"This free online course will equip you with the practical knowledge and techniques required to style websites using CSS. We will start with the basics of CSS and how to set it up. The course will then show you how to create and manipulate elements such as borders, apply colours, insert background images, implement transition effects, margins and padding. We will also explain essential features such as pseudo-elements.",en,Intermediate Level,3645,0,Certificate,Sonar Systems,18,7
Alison,Web Development,https://alison.com/course/scaling-a-web-app-with-docker-on-aws#outcomes,Scaling a Web App with Docker on AWS,"Docker provides a useful infrastructure solution for developing and deploying apps while Amazon Web Services is an inexpensive, feature-rich cloud platform for hosting apps and data. The two services yield a handy solution for developing and managing apps when used in tandem. In this short course, we will combine the power of AWS and Docker containers in developing, testing and deploying scalable web applications. Sign up today!",en,Advanced Level,886,0,Certificate,Stone River eLearning,4,2
Alison,Web Development,https://alison.com/course/introduction-to-angular-2#outcomes,Introduction to Angular 2,"This free online Angular 2 course will introduce you to the latest version of Angularjs, the new features in Angular 2, and the core building blocks of an Angular application. Angular JS is a structural framework developed and maintained by Google and used for developing dynamic web apps. You will learn how to combine those blocks to create easily testable and maintainable front-end applications that are fast and responsive.",en,Intermediate Level,12881,0,Certificate,Microsoft,15,6
Alison,Web Development,https://alison.com/course/javascript-and-css-fully-responsive-mobile-ready-website#outcomes,JavaScript and CSS - Fully Responsive Mobile Ready Website,"More and more of the world’s web traffic is coming from mobile devices and organizations need to ensure that all their applications and websites are mobile-friendly. This free online web development course will teach you the skills, techniques and methods required to set up and build a fully responsive and dynamic mobile website including webpage content and a working navbar using the popular JavaScript and CSS coding languages.",en,Beginner Level,3195,0,Certificate,Laurence Svekis ✔,14,9
Alison,Web Development,https://alison.com/course/web-accessibility-development#outcomes,Web Accessibility Development,"Learning the technical aspects of website development is a very important step in creating accessible website interfaces and in this free online course, you will learn the fundamental theory and uses of the Web Accessibility Initiative - Accessible Rich Internet Applications (WAI-ARIA). Explore this UI and UX course and learn how to apply the global Web Content Accessibility Guidelines (WCAG) in developing accessible websites and content.",en,Advanced Level,5934,0,Certificate,BCcampus OpenEd,10,5
Alison,Web Development,https://alison.com/course/diploma-in-html5-css3-and-javascript-revised#outcomes,"Diploma in HTML5, CSS3 and JavaScript","Alison's free online Diploma in HTML5, CSS3 and JavaScript certification course will give you in-depth knowledge of how you can use HTML5 to define the content of web pages, CSS3 to specify the layout and style of web pages, and JavaScript to program the behavior of web pages. These sets of skills will be a great boost to your career development as a computer programmer. Learn these languages to create functional and responsive web pages, today!",en,Beginner Level,90398,0,Diploma,Channel 9,352,111
Alison,Web Development,https://alison.com/course/arduino-mastery-code-circuits-and-web-control#outcomes,"Arduino Mastery: Code, Circuits & Web Control","Arduino has many possibilities, and our thorough e-learning course will help you uncover that potential for your project. Enrolling in this programme will provide you with valuable skills in programming, circuit construction, and internet-based Arduino controlling. This class will teach you new skills and offer you the competitive edge you need, regardless of whether you are working on a personal or business project.",en,Advanced Level,978,0,Certificate,Ashraf Said AlMadhoun,8,4
Alison,Web Development,https://alison.com/course/web-development-advanced-css3-selectors-and-html5-elements-revised#outcomes,Web Development - Advanced CSS3 Selectors and HTML5 Elements,"This free online HTML5 web development course focuses on Advanced CSS3 Selectors and HTML5 programming elements. You will study helpful features like rounded corners, shadows, gradients, transitions or animations, as well as useful layouts like multi-columns, flexible boxes, or grid layouts. Learn HTML5 advanced features and functionality of CSS3. It will help you style and format web pages in a precise and professional manner.",en,Beginner Level,20837,0,Certificate,Channel 9,111,20
Alison,Web Development,https://alison.com/course/basics-of-webpack#outcomes,Basics of Webpack,Webpack is one of the tools available for bundling JavaScript files into a single file with a rich plugin interface. This free online Webpack course will give you a clear understanding of core concepts to solve the problem of bundling and how it differs from other technologies. Discover how to develop custom web applications using a modular approach and the stages involved in adding new features and capabilities to a project.,en,Advanced Level,945,0,Certificate,Stone River eLearning,9,1
Alison,Web Development,https://alison.com/course/selenium-webdriver-all-you-need-to-know#outcomes,Selenium WebDriver: All You Need to Know,"Have you ever wondered how you can automatically locate web elements and apply different actions to them? This course provides several strategies and processes to automatically locate web elements and retrieve your desired data from a web page. In addition, we cover cross-browser testing that will help you check the functionality of your website on different browsers, detect any errors and improve its working as a result.",en,Intermediate Level,5325,0,Certificate,Quaatso,22,17
Alison,Web Development,https://alison.com/course/vibe-coding-basics#outcomes,Vibe Coding Basics,"Struggling to turn simple natural-language instructions into working code using AI? Learn vibe coding, an AI-assisted software development technique that turns your ideas into code. This course covers effective prompting, AI-powered debugging, error detection, and essential human oversight. This course content was created in partnership with Noor Ul Huda, whose qualifications include AI Engineering. Enrol now to boost your coding skills using AI.",en,Intermediate Level,128,0,Certificate,Advance Learning - IT,2,0
Alison,Web Development,https://alison.com/course/introduction-to-c-sharp-programming-revised#outcomes,Introduction to C# Programming,"This free online course on C# programming teaches you about the basic features and functions of programming applications in C# using Microsoft's Visual Studio Express. C# is an object-oriented Microsoft basic programming language designed to help web developers improve their productivity in the development of Web applications. This free online course teaches you about programming applications in C# in a clear, succint, and step-by-step manner.",en,Beginner Level,24375,0,Certificate,Channel 9,159,56
Alison,Web Development,https://alison.com/course/a-complete-guide-to-java-spring-mvc#outcomes,A Complete Guide to Java Spring MVC,"Spring MVC is a group of Spring Projects (including Spring Web, Spring Data, etc.) that you can use to build highly reliable and secure Enterprise Java Applications and adheres to the ‘Model View Controller’ design pattern. Spring MVC is based on the fundamental concepts of the Spring Framework, such as IoC, Dependency Injection and so on. This course provides you with all the information needed to start working on actual Spring-based projects.",en,Advanced Level,2996,0,Certificate,Stone River eLearning,7,5
Alison,Web Development,https://alison.com/course/ruby-on-rails-for-web-application-development#outcomes,Ruby on Rails for Web Application Development,"This free online Ruby on Rails course will teach you about the Ruby on Rails web app framework, and teach you how to use it for developing web applications. Ruby on Rails is an easy-to-learn and open source web application program with a liberal license. It has rich libraries, is easy to extend, and is remarkably object-oriented. It also involves less coding, and fewer bugs, which makes it ideal for beginner web developers.",en,Beginner Level,7600,0,Certificate,Microsoft,11,4
Alison,Web Development,https://alison.com/course/a-beginners-guide-to-javascript#outcomes,A Beginners Guide to JavaScript,"In this introductory course to JavaScript (JS), you will learn how to use this programming language to enhance the look and functionality of your webpage. This practical yet simple course has been designed for those learners with no prior experience of JS. JavaScript is used in almost all websites today and there is a demand for web developers with JavaScript experience.",en,Beginner Level,9281,0,Certificate,Juan Galvan,18,5
Alison,Web Development,https://alison.com/course/css-and-javascript-creating-a-single-page-flexbox-website#outcomes,CSS and JavaScript - Creating a Single Page Flexbox Website,"Open a world of opportunity and learn basic web development with this free online web development course. You will be taught how to design an effective, impressive, and responsive single-page website using a vast array of tools. The simple tutorials will cover the techniques, commands and methods for using CSS, Flexbox, JavaScript, and HTML to create and style a fully functioning, dynamic website from start to finish.",en,Beginner Level,4762,0,Certificate,Laurence Svekis ✔,20,6
Alison,Web Development,https://alison.com/course/introduction-to-html-structures-in-website-development#outcomes,Introduction to HTML Structures in Website Development,"Get to grips with HTML with this free online HTML tutorial where you will be introduced to the many structures included in HTML and some industry best practices as well. Along with HTML basics, you will learn all about the methods used to develop HTML forms on a website and integrate animations into the forms, web styling principles and techniques as well as the importance of media queries and how they can be added to an HTML form.",en,Advanced Level,4082,0,Certificate,YouAccel Training,8,6
Alison,Web Development,https://alison.com/course/diploma-in-e-commerce-web-development#outcomes,Diploma in E-Commerce Web Development,"This diploma course teaches you how to develop a website to successfully drive e-commerce. We explain how to build an e-commerce website from scratch using HTML, CSS, Javascript, PHP and SQL. We then show you how to develop advanced e-commerce functionalities to display products online, using simple and effective CSS, PHP and SQL code in any development environment. This course can also help small businesses widen their customer base and grow.",en,Beginner Level,117424,0,Diploma,ClayDesk E-Learning,101,43
Alison,Web Development,https://alison.com/course/angular-fundamentals#outcomes,Angular: Fundamentals,This free online course in Angular fundamentals teaches you all about the Angular tool and how it’s used for developing dynamic single-page applications. You will analyze the prerequisites for Angular and grapple with the integrated development environment (IDE) and the model view controller (MVC). Explore how Angular components are built and how they fit into the lifecycle of an app.,en,Intermediate Level,3110,0,Certificate,Workforce Academy Partnership,9,7
Alison,Web Development,https://alison.com/course/angular-directives-fundamentals#outcomes,Angular Directives Fundamentals,"Angular directives are classes that add additional behaviour to elements in your Angular applications. We provide you with an understanding of built-in directives, attribute directives and writing structural directives. We explain how to provide conceptual information on how directives work. We help you to set condition values. We answer questions like ‘what is an Angular direction?’ and ‘what is an Angular direct task?’.",en,Beginner Level,392,0,Certificate,Stone River eLearning,3,2
Alison,Web Development,https://alison.com/course/laravel-advanced-topics#outcomes,Laravel Advanced Topics,"Dive deep into Laravel's advanced features: Service Container for efficient dependency management, Facades for streamlined service access, Polymorphic Relationships for flexible database design, and Pipelines for structured multi-step processes. Learn to build scalable applications with advanced query techniques, empowering you to create high-performance web solutions and significantly increasing your skills in the Laravel framework.",en,Intermediate Level,1377,0,Certificate,Career Guides Experts,17,14
Alison,Web Development,https://alison.com/course/python-flask-development-with-docker#outcomes,Python Flask Development with Docker,"Flask is a Python-based microframework for web development. It's dubbed a ‘microframework’ since it runs without additional software or plug-ins. Are you looking to package an application and its dependencies in a virtual container that can run on any Linux, Windows or macOS computer? This course will provide step-by-step instructions on creating a Python Flask development using the Docker platform. So don't waste any more time - enroll now.",en,Beginner Level,4251,0,Certificate,Stone River eLearning,5,4
Alison,Web Development,https://alison.com/course/c-sharp-programming-coding-with-c-sharp-syntax-revised#outcomes,C# Programming - Coding with C# Syntax,"This free online C Sharp Programming course will teach you the basics of coding correctly formatted C# syntax with Visual Studio Express. C# is a simple but powerful, modern computer programming language that can be used to create almost anything, and is particularly useful for building Windows desktop applications and games. C# Coding is one of the most widely used tools, professionals with knowledge of C# Programming are always in high demand.",en,Beginner Level,20904,0,Certificate,Channel 9,73,53
Alison,Web Development,https://alison.com/course/introduction-to-basic-styling-in-website-development#outcomes,Introduction to Basic Styling in Website Development,"This web design course introduces you to website development using HTML and CSS. Explore the essential elements of developing a website and the basics of website design. Learn how to build the structure of a website, the cascading style sheet model and how to create components in the navigation bar. By the end of this course, you will become well equipped with the necessary skills required to develop a world-class website.",en,Advanced Level,6824,0,Certificate,YouAccel Training,17,10
Alison,Web Development,https://alison.com/course/principles-of-user-experience-and-business-accessibility#outcomes,Principles of User Experience and Business Accessibility,A well-designed website or application provides an enjoyable user experience (UX) for potential customers and is crucial to any online business. This UX design course shows you how to reach and satisfy more customers and increase your market share. We provide effective information architecture (IA) techniques that let you organise information properly and improve business accessibility by allowing people with disabilities to access your site.,en,Beginner Level,2982,0,Certificate,Proactive Ideas,41,27
Alison,Web Development,https://alison.com/course/django-fundamentals-the-fast-track#outcomes,Django Fundamentals - The Fast Track,"Django is a popular, open-source, Python-based web framework. Developers can use it to quickly move their applications and sites from concept to completion. This web development course explains how to code with Django and takes you through its framework and interface step by step. We also provide codes with which you can learn to work on Django. Sign up for this Django tutorial to begin your journey as a skilled backend web developer.",en,Beginner Level,3630,0,Certificate,Digital Partner,26,18
Alison,Web Development,https://alison.com/course/introduction-to-functions-of-filezilla-and-html-dom#outcomes,Introduction to Functions of FileZilla and HTML DOM,"If you are interested in learning about the features of the FileZilla interface and HTML DOM, then this programming course is for you. You will learn about the steps involved in creating a production server, the differences between ordered and unordered lists, and the three elements of CSS rules. It also teaches you about the functions of divs and DOM, along with the types of CSS position properties.",en,Advanced Level,320,0,Certificate,YouAccel Training,3,3
Alison,Web Development,https://alison.com/course/api-s-social-media-data-and-their-real-world-applications#outcomes,"API's, Social Media Data and Their Real World Applications","Millions of people use social media platforms and data is created, viewed and uploaded countless times every day. However, many people don’t realize what happens behind the scenes on these online platforms once content is uploaded. This free online course teaches you the importance of Application Programming Interfaces (APIs) and takes you through their essential role in facilitating the successful exchange of data between software products.",en,Beginner Level,1877,0,Certificate,Stone River eLearning,8,15
Alison,Web Development,https://alison.com/course/master-django-web-development-hands-on-projects#outcomes,Master Django Web Development: Hands-On Projects,"Django is a powerful open-source web framework for developing secure web applications. In this hands-on course, you'll learn the fundamentals and build the confidence to create fully functional web applications through practical projects. By the end, you'll have a solid understanding of Django's features, allowing you to apply your skills to real-world projects. Enroll now to gain this valuable skill and enhance your web development capabilities.",en,Intermediate Level,3096,0,Certificate,Khan Arbaz,16,10
Alison,Web Development,https://alison.com/course/advanced-diploma-in-modern-application-development#outcomes,Advanced Diploma in Modern Application Development,"In this free online course, you will learn key concepts and step by step methods to build an application from scratch in the 2020s. This online diploma course will teach you some important programming languages such as HTML, Java, and MySQL. This course also includes modern, need-to-know details of modern application development including database setup, cookies, encryption as well as protocols that will help you in application development.",en,Advanced Level,10456,0,Diploma,NPTEL,29,11
Alison,Web Development,https://alison.com/course/responsive-web-design-with-bootstrap-5#outcomes,Responsive Web Design with Bootstrap 5,"Millions of people visit websites daily for work, entertainment or a myriad of other reasons. Responsive web design makes websites enjoyable across devices and screen sizes, improving user engagement, user experience and search rankings. This short course will teach you all you need to know to start creating responsive websites with Bootstrap 5, a front-end web design framework that simplifies the process of creating responsive websites.",en,Intermediate Level,3544,0,Certificate,Sonar Systems,16,11
Alison,Web Development,https://alison.com/course/javascript-working-with-the-document-object-model-and-jquery-plugins-revised#outcomes,JavaScript - Working with the Document Object Model and jQuery Plugins,"This free online Document Object Model course will introduce the concept of the Document Object Model, DOM methods in javascript, and how you can add greater functionality to the web page using jQuery. JavaScript can change HTML elements in a web page, including attributes and CSS styles, remove existing and add new HTML elements and attributes, and react to all existing HTML events in the page. Get up to speed with Javascript, today.",en,Beginner Level,5391,0,Certificate,Channel 9,42,6
Alison,Web Development,https://alison.com/course/restful-services-fundamentals#outcomes,RESTful Services Fundamentals,This free online course covers the functions and elements of hypertext transfer protocols (HTTP) and how REST resources are created in the Java application programming interface for RESTful Web Services (JAX-RS). We examine the program’s operations and provide a comprehensive understanding of the elements of distributed computing and the evolution of web services. This course is for anyone looking to work in networking and web development.,en,Intermediate Level,1669,0,Certificate,Workforce Academy Partnership,2,7
Alison,Web Development,https://alison.com/course/bootstrap-3-1-fundamentals#outcomes,Bootstrap 3.1 - Fundamentals,"‘Bootstrap 3.1 – Fundamentals’ is a free online course from Alison that provides enthusiastic developers with up-to-date knowledge of the concepts and procedures for web development using the Bootstrap 3.1 framework. You will study the proper usage of the base CSS framework and the components of Bootstrap, and learn about JavaScript and the principles of updating a blog site. Register for this course today and enhance your web development skills!",en,Beginner Level,2140,0,Certificate,Workforce Academy Partnership,3,3
Alison,Web Development,https://alison.com/course/interactive-games-using-html-5-and-javascript#outcomes,Interactive Games using HTML 5 and JavaScript,"Are you inspired to build games but don't know how to move ahead? This free online HTML tutorial is an excellent opportunity for you to do just that. Learn how to create two easy-to-use games using HTML5 Canvas and JavaScript. You will be guided through all the commands, programs, and techniques of HTML5, Canvas, and JavaScript required for the job and you can use your game development and coding knowledge to open a world of opportunities.",en,Intermediate Level,2442,0,Certificate,Laurence Svekis ✔,5,12
Alison,Web Development,https://alison.com/course/diploma-in-cascading-style-sheets-with-npm-and-sass#outcomes,Diploma in Cascading Style Sheets with NPM and Sass,"This is an expert course on cascading style sheets (CSS) using NPM and Sass. You will learn about NPM and the pros of using this service. In addition, this course goes into detail on how Sass works with NPM to provide a seamless coding experience. Have you ever wondered how to add images to web pages or what layout style is best for your website? This course will explore the possible solutions to these questions.",en,Advanced Level,753,0,Diploma,Juan Galvan,4,1
Alison,Web Development,https://alison.com/course/javascript-dynamic-timeline-using-json#outcomes,JavaScript Dynamic Timeline Using JSON,"If you have ever wondered how to create an interactive timeline in JavaScript, then look no further. This web development course teaches you how to design an interactive timeline with end-users in mind. You will learn how to generate page content from JSON (JavaScript object notification) data objects and randomly from string characters to populate the web page, then apply styling to make the timeline more dynamic.",en,Beginner Level,755,0,Certificate,Laurence Svekis ✔,2,1
Alison,Web Development,https://alison.com/course/web-development-with-jquery-ajax-and-json#outcomes,"Web Development With jQuery, Ajax and JSON","All businesses today require excellent web design to set the first impression for their clients and keep up with competitors to boost revenues. This free online web development course will teach you a step-by-step process of designing a professional web application using jQuery, Ajax and JSON. Discover the steps for creating a simple web chat application with a live chat support system. Jump-start your career as a web developer today!",en,Advanced Level,3198,0,Certificate,Stone River eLearning,5,8
Alison,Web Development,https://alison.com/course/adobe-dreamweaver-cc#outcomes,Adobe Dreamweaver CC,"This training course teaches you how to use Adobe Dreamweaver CC to build websites on Mac and Windows operating systems. The program uses a user-friendly drag-and-drop interface and an HTML and CSS development environment. We show you how to create a new workspace, customize tools, work with text and insert and edit different types of images. Sign up to boost your web design skills and learn web development.",en,Beginner Level,6177,0,Certificate,SimonSezIT,11,5
Alison,Web Development,https://alison.com/course/diploma-in-user-experience-design-for-the-web-using-adobe-xd#outcomes,Diploma in User Experience Design for the Web using Adobe XD,"This course is for those who want to start a career in User Experience (UX) design. It teaches you everything that you need to know, starting from scratch with Adobe XD basics to more advanced types of User Interfaces (UIs) and UI elements. Gain a wealth of knowledge, tips, tricks, tools, and resources to jumpstart your career. We will also cover project management, marketing and networking, building your website, logo, and brand.",en,Beginner Level,8763,0,Diploma,Juan Galvan,16,5
Alison,Web Development,https://alison.com/course/fundamentals-of-javascript-and-the-dom#outcomes,Fundamentals of JavaScript and the DOM,"Do you want to be a website designer but don't know where to start? You don't need to look any further! This course will teach you everything you need to know about creating webpages using JavaScript and the document object model (DOM), one of the World Wide Web's core technologies. This course's knowledge will catapult you from an aspiring web designer and developer to a professional!",en,Beginner Level,4316,0,Certificate,Laurence Svekis ✔,30,28
Alison,Web Development,https://alison.com/course/introduction-to-javascript-dom-page-elements#outcomes,Introduction to JavaScript DOM Page Elements,"This course on JavaScript DOM Page Elements will equip you with the basic knowledge needed to modify elements on webpages with DOM using JavaScript. It teaches you how the DOM relates to JavaScript code, methods of selecting elements and how to add and remove objects using append and prepend. In addition, this course will teach you about event listeners and their types and how to add animation frames to the page.",en,Beginner Level,1228,0,Certificate,Laurence Svekis ✔,5,2
