Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;Часть С;1_Часть С;2_Часть С;3_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
221073;"МОУ ""СОШ п. Динамовский""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++-++-+++-++;+;+;-;+;+;-;+;+;+;-;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
221073;"МОУ ""СОШ п. Динамовский""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+-++--;+;+;-;+;+;-;+;-;+;+;-;-;1(2)3(3)0(2);1;3;0;;11;57;0;4
221073;"МОУ ""СОШ п. Динамовский""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+--++-;+;+;-;+;-;-;+;-;-;+;+;-;2(2)0(3)0(2);2;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+-+---++++--;+;-;+;-;-;-;+;+;+;+;-;-;1(2)0(3)0(2);1;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-+-+++-;+;+;+;+;+;-;+;-;+;+;+;-;1(2)0(3)2(2);1;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+-++++;+;+;+;+;+;-;+;-;+;+;+;+;2(2)0(3)2(2);2;0;2;;14;73;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++++++-++;+;+;-;+;+;+;+;+;+;-;+;+;1(2)1(3)2(2);1;1;2;;14;73;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++-+-;+;+;+;-;+;-;+;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;2(2)2(3)2(2);2;2;2;;16;84;0;5
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++++-+++++++;+;+;+;+;-;+;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-++;+;+;-;+;+;-;+;+;+;-;+;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-++++++;+;+;-;+;+;-;+;+;+;+;+;+;0(2)0(3)0(2);0;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++-+-;+;+;+;-;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-++++--;+;+;+;-;+;-;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+--+-+;+;+;-;-;+;-;+;-;-;+;-;+;1(2)0(3)2(2);1;0;2;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+-++--;+;+;+;+;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++++-;+;+;-;+;+;-;+;+;+;+;+;-;0(2)0(3)0(2);0;0;0;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+-+-+--++-+-;+;-;+;-;+;-;-;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++--++++++-+;+;+;-;-;+;+;+;+;+;+;-;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+++++-++;+;+;+;-;+;+;+;+;+;-;+;+;0(2)0(3)0(2);0;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+++++-++;+;+;+;-;+;+;+;+;+;-;+;+;0(2)0(3)0(2);0;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-++-+++--;+;+;+;-;+;+;-;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++-+--;+;+;+;+;+;-;+;+;-;+;-;-;2(2)0(3)2(2);2;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-+-++--;+;+;+;+;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)3(3)0(2);1;3;0;;15;78;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++-++;+;+;+;-;+;-;+;+;+;-;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++---;+;+;-;+;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+-+-+-++-+++;+;-;+;-;+;-;+;+;-;+;+;+;2(2)0(3)2(2);2;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+++-+-;+;+;-;+;-;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++--+;+;+;+;-;+;-;+;+;+;-;-;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+++-+-++;+;+;+;-;+;+;+;-;+;-;+;+;1(2)0(3)2(2);1;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-++++-+;+;+;-;+;+;-;+;+;+;+;-;+;2(2)2(3)2(2);2;2;2;;15;78;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+++++++-;+;+;+;-;+;+;+;+;+;+;+;-;0(2)0(3)0(2);0;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;2(2)3(3)1(2);2;3;1;;17;89;0;5
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+++-+-;+;+;-;+;-;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-++++++;+;+;-;+;+;-;+;+;+;+;+;+;1(2)1(3)2(2);1;1;2;;14;73;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-+-;+;+;-;+;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+++++---;+;+;-;-;+;+;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;+--+--++++--;+;-;-;+;-;-;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++-+-;+;+;-;-;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+---+---;+;+;+;-;+;-;-;-;+;-;-;-;0(2)0(3)0(2);0;0;0;;5;26;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+++-+-;+;+;-;+;-;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-++++++;+;+;-;-;+;-;+;+;+;+;+;+;1(2)1(3)0(2);1;1;0;;11;57;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+-+-+-;+;+;-;+;+;-;+;-;+;-;+;-;1(2)0(3)1(2);1;0;1;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+++-+-;+;+;+;+;+;-;+;+;+;-;+;-;1(2)0(3)2(2);1;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+--+++--;+;+;+;-;+;-;-;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-+++--+;+;+;+;+;+;-;+;+;+;-;-;+;1(2)0(3)2(2);1;0;2;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++--+--++-++;+;+;-;-;+;-;-;+;+;-;+;+;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-++++++;+;+;-;+;+;-;+;+;+;+;+;+;0(2)2(3)0(2);0;2;0;;12;63;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-++++++;+;+;-;-;+;-;+;+;+;+;+;+;0(2)1(3)0(2);0;1;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-++-+++-+-;+;+;-;+;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;2(2)3(3)0(2);2;3;0;;17;89;0;5
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+++++-;+;+;+;-;+;-;+;+;+;+;+;-;1(2)0(3)0(2);1;0;0;;10;52;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+--++---;+;+;+;-;+;-;-;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+--+----;+;+;-;-;+;-;-;+;-;-;-;-;1(2)0(3)0(2);1;0;0;;5;26;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-++++++;+;+;+;-;+;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;11;57;0;4
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-+++---;+;+;+;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-++++-+;+;+;+;-;+;-;+;+;+;+;-;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
238143;"МОУ ""СОШ им. Ю.А. Гагарина""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++++++-+-;+;+;+;+;+;+;+;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;11;57;0;4
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+-++-+;+;+;+;-;+;-;+;-;+;+;-;+;1(2)0(3)0(2);1;0;0;;9;47;0;3
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-+++--+++-;+;+;-;+;+;+;-;-;+;+;+;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++------++--;+;+;-;-;-;-;-;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;4;21;0;3
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+-++++;+;+;+;-;+;-;+;-;+;+;+;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+---++++;+;+;+;-;+;-;-;-;+;+;+;+;1(2)0(3)0(2);1;0;0;;9;47;0;3
226033;"МОУ ""СОШ с.Новотулка Питерского района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;28080;+++------+--;+;+;+;-;-;-;-;-;-;+;-;-;0(2)0(3)0(2);0;0;0;;4;21;0;3
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;12;63;0;4
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+-++++;+;+;-;+;+;-;+;-;+;+;+;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;0(2)1(3)0(2);0;1;0;;11;57;0;4
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-++++++++;+;+;+;-;+;+;+;+;+;+;+;+;2(2)0(3)0(2);2;0;0;;13;68;0;4
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+++++++-;+;+;+;-;+;+;+;+;+;+;+;-;1(2)3(3)2(2);1;3;2;;16;84;0;5
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++----+-+++-;+;+;-;-;-;-;+;-;+;+;+;-;1(2)0(3)0(2);1;0;0;;7;36;0;3
243053;"МОУ ""СОШ № 66 им. Н.И. Вавилова""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;-++---++++++;-;+;+;-;-;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;9;47;0;3
217023;МОУ - СОШ № 2 г. Красный Кут Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-+--+-+++-;+;+;-;+;-;-;+;-;+;+;+;-;1(2)0(3)0(2);1;0;0;;8;42;0;3
217023;МОУ - СОШ № 2 г. Красный Кут Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;--+-+-++-+++;-;-;+;-;+;-;+;+;-;+;+;+;1(2)2(3)0(2);1;2;0;;10;52;0;3
217023;МОУ - СОШ № 2 г. Красный Кут Саратовской области;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++++-+++++-;+;+;+;+;+;-;+;+;+;+;+;-;1(2)0(3)0(2);1;0;0;;11;57;0;4
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-----++---;+;+;-;-;-;-;-;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;4;21;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++-+-++++++;+;+;+;-;+;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;11;57;0;4
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++++--;+;+;+;+;+;-;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;9;47;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-+--+++-+-;+;+;-;+;-;-;+;+;+;-;+;-;1(2)0(3)0(2);1;0;0;;8;42;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;+-+++-++++++;+;-;+;+;+;-;+;+;+;+;+;+;1(2)0(3)0(2);1;0;0;;11;57;0;4
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;+++++-+++-++;+;+;+;+;+;-;+;+;+;-;+;+;1(2)1(3)2(2);1;1;2;;14;73;0;4
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++-----++-+-;+;+;-;-;-;-;-;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;5;26;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++-+-;+;+;+;+;+;-;+;+;+;-;+;-;0(2)0(3)0(2);0;0;0;;9;47;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++---;+;+;+;+;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-+++---;+;+;+;+;+;-;+;+;+;-;-;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
238253;"МОУ ""СОШ п. Коминтерн""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;2(2)1(3)2(2);2;1;2;;16;84;0;5
236044;МОУ ООШ с. Тамбовка Федоровского района Саратовской области;Основная общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-++++--;+;+;+;+;+;-;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;9;47;0;3
238043;"МОУ ""СОШ № 9""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+++++-;+;+;-;+;+;-;+;+;+;+;+;-;1(2)0(3)2(2);1;0;2;;12;63;0;4
238043;"МОУ ""СОШ № 9""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-++----;+;+;+;-;+;-;+;+;-;-;-;-;1(2)2(3)0(2);1;2;0;;9;47;0;3
