platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Web Development,https://stepik.org/course/114109/,Курс по верстке и веб разработке сайтов с нуля! Web development,"В этом курсе вы найдете все о современной верстке сайтов, для быстрого старта в профессию веб разработчик!",ru,easy,3315,3290 ₽,Certificate,Дмитрий Фокеев,4.962962962962963,351
Stepik,Web Development,https://stepik.org/course/113918/,"""Поколение Python"": базы данных и SQL","Курс продолжает серию ""Поколение Python"" и рассказывает о языке структурированных запросов SQL, который используется при работе с реляционными базами данных",ru,normal,4054,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.981958762886598,388
Stepik,Web Development,https://stepik.org/course/82541/,"""Поколение Python"": курс для профессионалов","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,hard,15191,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.968484848484849,1650
Stepik,Web Development,https://stepik.org/course/68343/,"""Поколение Python"": курс для продвинутых","Курс продолжает легендарный курс ""Поколение Python: курс для начинающих"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,,252174,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.966070038910506,6425
Stepik,Web Development,https://stepik.org/course/63085/,Инди-курс программирования на Python,"Инди-курс программирования на Python — проверенный временем пошаговый курс для тех, кто хочет освоить разработку с нуля. Уже более 5 лет курс помогает ученикам легко и эффективно изучать python. Мы научим вас создавать свои первые программы, работать с числами, строками, списками и основными структурами данных. Курс охватывает ключевые концепции программирования, такие как циклы, функции, обработка исключений и многое другое, чтобы вы уверенно начали свой путь в мире python.",ru,easy,214677,-,Certificate,Артем Егоров,4.886831275720165,2430
Stepik,Web Development,https://stepik.org/course/58852/,"""Поколение Python"": курс для начинающих","​В курсе рассказывается об основных типах данных, конструкциях и принципах структурного программирования языка Python. Курс содержит теорию в формате текстовых конспектов и более 500 задач с автоматизированной проверкой. Этот курс является первой частью линейки курсов ""Поколение Python"".",ru,easy,1447480,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.965998836145981,24058
Stepik,Web Development,https://stepik.org/course/54403/,Программирование на Golang,"Курс посвящен основам языка программирования Golang. Курс будет полезен тем, кто уже имеет базовый опыт в программировании. На курсе будет рассмотрена теория, подкрепленная практикой.",ru,,80133,-,Certificate,Семён Новиков,4.654898499558694,1133
Stepik,Web Development,https://stepik.org/course/262455/,Инструменты тестировщика [ Postman + SQL + Git + Linux ],"Инструменты тестировщика: освойте Postman для тестирования API, Linux для работы с серверами, Git для контроля версий и SQL для проверки данных. То, что нужно для старта в QA.",ru,,13,2990 ₽,Certificate,Давид Согоян;Pragmatic Programmer,0.0,0
Stepik,Web Development,https://stepik.org/course/258802/,Профессия: Web-верстальщик [ верстка + Git + GitHub ],"Современная вёрстка на JSX, SCSS, JavaScript и Git. Создавайте сложные проекты с нуля и работайте в команде с системой контроля версий.",ru,easy,107,2998 ₽,Certificate,Pragmatic Programmer;Александр Ламков,5.0,1
Stepik,Web Development,https://stepik.org/course/256433/,Программа: 1С-разработчик + SQL + Git,"Освой профессионально не только все инструменты 1С-разработчика, но и сопутствующие технологии: базы данных (SQL), контроль версий кода (Git)!",ru,,20,8400 ₽,Certificate,Pragmatic Programmer;Василий Еремин,0.0,0
Stepik,Web Development,https://stepik.org/course/254281/,Программа: Java-разработчик [ Java + ООП + SQL + Linux + Git ],"Программируете на Java или интересуетесь этим языком? В данной учебной программе Вы не только с нуля изучите сам язык Java, но и научитесь работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git).",ru,,75,6490 ₽,Certificate,Оксана Еськова;Pragmatic Programmer,5.0,1
Stepik,Web Development,https://stepik.org/course/253025/,IT-фундамент [ SQL + Linux + Git ],"На каком бы языке Вы ни программировали, вероятнее всего, Вам понадобится работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git)",ru,,38,4000 ₽,Certificate,Pragmatic Programmer,5.0,1
Stepik,Web Development,https://stepik.org/course/252829/,Основы Git и GitHub,"Git и GitHub: от основ до уверенного использования. Научитесь работать с репозиториями, коммитами, удаленными серверами и GitHub Copilot. Освойте откат изменений, историю коммитов. Идеально для старта в разработке!",ru,easy,3751,-,Certificate,Pragmatic Programmer,4.991228070175438,114
Stepik,Web Development,https://stepik.org/course/248403/,Pythontongue for beginners,"The course is still in development, but the first modules are already available. Happy learning!
A step-by-step Python course for absolute beginners, packed with hands-on coding practice, clean code examples, and a final mini-project. Designed by an experienced teacher who researched 5 top courses and distilled 9 years of teaching into one powerful learning journey.",en,easy,78,-,,Pythorin House of Code,0.0,0
Stepik,Web Development,https://stepik.org/course/241839/,Профессия: Python-разработчик [ Python + SQL + Git + Linux ],"Учебная программа даст все необходимые навыки: основательное знание Python, работа с Git и GitHub, уверенное владение Linux и эффективное использование SQL. После обучения Вы сможете разрабатывать приложения, управлять версиями кода, работать с серверами и базами данных — всё, что нужно для старта карьеры в IT.",ru,easy,97,8500 ₽,Certificate,Pragmatic Programmer;Future People,5.0,1
Stepik,Web Development,https://stepik.org/course/229493/,Права и пользователи в Linux,"Концентрат знаний о правах и пользователях в Linux — без углубления в дебри терминов, сложных процессов и лишних деталей. Только самое важное для начала работы. Бесплатно.",ru,easy,4420,-,Certificate,Матвей Чудневцев;Михаил Новичихин,4.943181818181818,88
